Date,ma20_slope,ma60_slope,bias_ma20,bias_ma60,vol_ratio_5_20,volatility_20d,rsi_diff_3d,rsi_monthly,macd_monthly,sox_mom,rs_vs_sox,usd_twd_mom20,vix_ma20_bias,inst_net_buy_20d,inst_accel,margin_mom,revenue_mom
2019-03-04,0.019499224951487176,0.006882640089791915,0.023690421340692103,0.04985507064125691,0.9279839790249654,0.21974617827482582,7.103633964860492,47.41032684901537,-2.8034498761701343,0.1423627545198678,-0.08630886047732189,-0.0012631026748594065,-0.08790523031530525,117702809.0,-2108619.6500000004,-0.18483215913800244,-0.22030898805868482
2019-03-05,0.01798324167041093,0.00653889536250886,0.010079115801065186,0.03793900548455716,0.9230844402594035,0.2192518746433038,-5.60202236441021,47.41032684901537,-2.8034498761701343,0.14414611094951035,-0.08745677695340204,-0.0012631234842194194,-0.06714766190438994,118432998.0,-3318752.5000000005,-0.16855036855036853,-0.22030898805868482
2019-03-06,0.01659525133894502,0.005782949137761945,0.011891854809919035,0.04162030279557565,0.9084791813769635,0.21810736162722044,-20.947664633149003,47.41032684901537,-2.8034498761701343,0.06372858493125655,-0.01204307735850385,-0.0009073782523069118,0.00616868200054381,117590619.0,-3967927.1500000004,-0.16363486706724828,-0.22030898805868482
2019-03-07,0.013674674731009345,0.004805549720140067,0.010144570825945304,0.041041048457567286,0.9039197246070071,0.21263797187174072,-13.353651838218951,47.41032684901537,-2.8034498761701343,0.029605927931486864,0.005792447994649619,-0.0014575395314275763,0.06332522462607502,100974128.0,-4094716.0000000005,-0.11173282042315091,-0.22030898805868482
2019-03-08,0.009916120149894132,0.003384913687451416,-0.00733692127837571,0.023169817264275493,0.8218752202783323,0.2182028593307878,-3.846065157492589,47.41032684901537,-2.8034498761701343,0.05086888973335557,-0.046501871719217824,0.006480376570295432,0.038095810245197884,81435981.0,-5637873.25,-0.06243850076035429,-0.22030898805868482
2019-03-11,0.008911131089779147,0.002489041340413601,-0.006893681756015963,0.025013853586715765,0.7331891945289954,0.19005507921396395,-1.3961365212834096,47.41032684901537,-2.8034498761701343,0.09191506967264917,-0.05595994817040184,0.0033454800737886536,-0.058537549109316724,83650482.0,-7609154.7,-0.10682368662824693,0.3092925649774003
2019-03-12,0.009320486183903303,0.0017818657801842936,0.011489222946218515,0.04720962061038932,0.7679822119907849,0.19959627931203164,-0.7675963967635226,47.41032684901537,-2.8034498761701343,0.06554694652407345,6.366360678899952e-05,0.004255888964438181,-0.0836189085949037,102074642.0,-7164316.5,-0.14432477216238604,0.3092925649774003
2019-03-13,0.00875675862656813,0.0012612172532544346,0.015968065931996085,0.05364535417306136,0.8578290937781452,0.16980041519274056,8.02380839049301,47.41032684901537,-2.8034498761701343,0.03964459267072651,-0.00017103846993005156,0.0021738947465355096,-0.09990939501867517,78955735.0,-5035678.15,-0.05567805953693494,0.3092925649774003
2019-03-14,0.007986169940162458,0.001334668943458175,0.004282611869563981,0.041874920635645886,0.879874472610437,0.1733798285488379,-6.603728310879603,47.41032684901537,-2.8034498761701343,0.012224017182918212,0.00734097285322477,0.0006153155822725687,-0.08796108328408456,61917088.0,-4372273.2,-0.010504400492097998,0.3092925649774003
2019-03-15,0.00992661824146953,0.0026691413126155084,0.021367785991245208,0.060376702305941055,0.964433746364838,0.1835381280284721,-5.262930866453331,47.41032684901537,-2.8034498761701343,0.03852438328864638,0.005144051473562783,0.003929601540547001,-0.1216285241435806,61064979.0,-281314.5500000003,-0.10205992509363293,0.3092925649774003
2019-03-18,0.011202043523973552,0.003779875427729644,0.026842602385574985,0.06767069650709474,0.9878135187805183,0.18002816339414482,-6.416051175019973,47.41032684901537,-2.8034498761701343,0.03322647303152526,0.028447316830308544,0.0011992952478936392,-0.09701875887401495,75714575.0,3594883.6500000004,-0.14011976047904195,0.3092925649774003
2019-03-19,0.010952417135094568,0.005336103956984978,0.021773762243029557,0.06376707821733016,0.9287825953164385,0.18064503572894114,4.237349721845781,47.41032684901537,-2.8034498761701343,0.04157101173950317,0.017900311414041248,-0.0018169351225438835,-0.06094180291666495,73121920.0,2634242.8,-0.13810835629017448,0.3092925649774003
2019-03-20,0.01157430642959967,0.006557508090386773,0.025532400080576702,0.06886530986889525,0.9376042340898398,0.17704957775059263,-0.14878316976318473,47.41032684901537,-2.8034498761701343,0.030958091736037696,0.021215662639639143,-0.0007139867238334929,-0.03335651201526574,72749720.0,2576119.5999999996,-0.160051689126823,0.3092925649774003
2019-03-21,0.014132762722492104,0.007330896216623227,0.036739938104082256,0.08280967743111607,0.991544733562656,0.17982101203321949,2.6229372477430957,47.41032684901537,-2.8034498761701343,0.06921813769198937,0.002834367121488768,-0.0023687439919571895,-0.04868259919692198,83737771.0,4348674.850000001,-0.2100732600732601,0.3092925649774003
2019-03-22,0.014957235518684194,0.007579396660145846,0.04631547782075275,0.09423130789694613,0.9197987798068052,0.16638097081896,16.075276247729825,47.41032684901537,-2.8034498761701343,0.029471847676125096,0.03022936040194213,0.0004548536102610967,0.14044493472094194,78503827.0,4085120.65,-0.18619367209971238,0.3092925649774003
2019-03-25,0.012995298175444892,0.007494376466689116,0.01577292598543062,0.06192752174035843,0.8838781351589229,0.19805541382323677,7.406659995003821,47.41032684901537,-2.8034498761701343,0.024069616737641075,-0.002927893143247484,0.0024681805038639926,0.1227997742905214,60094185.0,1283625.1500000004,-0.1438905180840665,0.3092925649774003
