Date,Open,High,Low,Close,Volume,SOX_Close,USD_TWD,VIX_Close
2018-01-02,187.5951408796413,188.40548706054688,187.1899677891885,188.40548706054688,18055269,1287.699951171875,29.77300071716309,9.770000457763672
2018-01-03,191.2416863421348,192.8623785992715,190.83651327785057,192.05203247070312,29308091,1309.8599853515625,29.621999740600582,9.149999618530272
2018-01-04,194.48306917895357,194.48306917895357,191.6468577534272,194.0778961181641,29096613,1317.239990234375,29.593000411987305,9.220000267028809
2018-01-05,194.48309326171875,194.48309326171875,192.86240081787108,194.48309326171875,22438255,1325.7099609375,29.56999969482422,9.220000267028809
2018-01-08,196.1037750244141,196.50894811330747,194.8882557577338,196.1037750244141,20233692,1335.5400390625,29.46699905395508,9.520000457763672
2018-01-09,196.1037750244141,196.1037750244141,194.07790957994695,196.1037750244141,19043123,1322.5699462890625,29.50300025939941,10.079999923706056
2018-01-10,195.69864336783996,196.10381654251452,191.24173844641916,191.64691162109372,23631220,1306.219970703125,29.51799964904785,9.81999969482422
2018-01-11,190.43136596679688,191.24171220495347,188.40550037140545,190.43136596679688,30446338,1314.3399658203125,29.59600067138672,9.880000114440918
2018-01-12,190.0261671492822,192.8623785992715,189.21582102071383,192.05203247070312,21513291,1322.0999755859375,29.58799934387207,10.15999984741211
2018-01-15,194.48309326171875,194.48309326171875,192.86240081787108,194.48309326171875,27476533,1322.0999755859375,29.58300018310547,10.15999984741211
2018-01-16,194.4830715631497,194.88824462890625,192.86237930012345,194.88824462890625,21691632,1325.969970703125,29.52300071716309,11.65999984741211
2018-01-17,194.8882557577338,196.91412120220087,193.67273649105357,196.1037750244141,38046119,1364.2900390625,29.549999237060547,11.90999984741211
2018-01-18,198.5348209864657,202.58655202700575,198.5348209864657,201.37103271484372,49896952,1370.56005859375,29.55599975585937,12.220000267028809
2018-01-19,205.42279488699776,207.04348754882807,203.80210222516743,207.04348754882807,50549292,1372.030029296875,29.542999267578125,11.270000457763672
2018-01-22,208.6641780641749,212.31073651578183,208.25900490288524,211.9055633544922,43400509,1382.4100341796875,29.36400032043457,11.029999732971191
2018-01-23,212.71588174920333,215.55209350585935,212.71588174920333,215.55209350585935,33527444,1392.8599853515625,29.261999130249023,11.100000381469728
2018-01-24,213.1210516996162,213.1210516996162,207.85380137243936,209.0693206787109,41874813,1360.6800537109375,29.26799964904785,11.470000267028809
2018-01-25,209.0693206787109,213.9313979037973,207.85380137243936,209.0693206787109,44643756,1337.6199951171875,29.08799934387207,11.579999923706056
2018-01-26,207.85380976059855,208.664155997482,205.4227710499483,206.63829040527344,39555523,1381.27001953125,29.06399917602539,11.079999923706056
2018-01-29,209.8796603942517,211.90552584207265,206.63827567773816,209.4744873046875,30071234,1378.4200439453125,29.097999572753903,13.84000015258789
2018-01-30,207.4486166007905,208.66413583868572,204.6124050457016,205.017578125,36860591,1350.43994140625,29.131000518798828,14.789999961853027
2018-01-31,205.01759793150657,208.664155997482,204.20725169462315,206.63829040527344,44136808,1361.5,29.21999931335449,13.539999961853027
2018-02-01,208.6640980156401,211.50030905662936,208.2589250097845,210.2847900390625,30559457,1355.0699462890625,29.142000198364254,13.470000267028809
2018-02-02,209.8796170332069,210.68996304491813,206.638232986362,210.2847900390625,25707560,1317.97998046875,29.187000274658203,17.309999465942383
2018-02-05,203.3968858078063,206.23309736289525,202.9917127285079,205.017578125,45594379,1255.81005859375,29.34600067138672,37.31999969482422
2018-02-06,196.50898745868,197.31933379871572,189.6210435683757,193.6727752685547,102409048,1301.6600341796875,29.301000595092773,29.979999542236328
2018-02-07,198.5348243713379,198.9399974822998,194.0779201507568,194.48309326171875,80063178,1272.5,29.375,27.729999542236328
2018-02-08,194.0779090417506,196.10377448059975,192.8623897784411,193.2675628662109,30989550,1218.6600341796875,29.263999938964844,33.459999084472656
2018-02-09,186.37962160828292,188.81066015099967,185.16410233692457,188.40548706054688,65735265,1255.81005859375,29.36899948120117,29.059999465942383
2018-02-12,190.8365652717445,192.45725797044295,190.4313920970699,191.64691162109372,35635236,1279.1400146484375,29.30599975585937,25.61000061035156
