stock_id,date,open,high,low,close,volume,sox_close,usd_twd,vix_close
2330,2018-01-02,187.595171265961,188.405517578125,187.189998109879,188.405517578125,18055269,1287.699951171875,29.77300071716309,9.770000457763672
2330,2018-01-03,191.2416863421348,192.8623785992715,190.83651327785057,192.05203247070312,29308091,1309.8599853515625,29.621999740600582,9.149999618530272
2330,2018-01-04,194.4830691789535,194.4830691789535,191.6468577534272,194.0778961181641,29096613,1317.239990234375,29.593000411987305,9.220000267028809
2330,2018-01-05,194.4830780029297,194.4830780029297,192.8623856862386,194.4830780029297,22438255,1325.7099609375,29.56999969482422,9.220000267028809
2330,2018-01-08,196.103759765625,196.508932822992,194.888240593524,196.103759765625,20233692,1335.5400390625,29.46699905395508,9.520000457763672
2330,2018-01-09,196.103759765625,196.103759765625,194.07789447879009,196.103759765625,19043123,1322.5699462890625,29.503000259399418,10.079999923706056
2330,2018-01-10,195.69858104229985,196.10375408793607,191.24167754030128,191.6468505859375,23631220,1306.219970703125,29.51799964904785,9.81999969482422
2330,2018-01-11,190.4313201904297,191.2416662337932,188.4054550820209,190.4313201904297,30446338,1314.3399658203125,29.59600067138672,9.880000114440918
2330,2018-01-12,190.0261671492822,192.8623785992715,189.21582102071383,192.05203247070312,21513291,1322.0999755859375,29.58799934387207,10.15999984741211
2330,2018-01-15,194.4830780029297,194.4830780029297,192.8623856862386,194.4830780029297,27476533,1322.0999755859375,29.58300018310547,10.15999984741211
2330,2018-01-16,194.48304110901768,194.88821411132807,192.86234909977583,194.88821411132807,21691632,1325.969970703125,29.52300071716309,11.65999984741211
2330,2018-01-17,194.888240593524,196.914105880359,193.67272142142303,196.103759765625,38046119,1364.2900390625,29.549999237060547,11.90999984741211
2330,2018-01-18,198.5348360303422,202.5865673779002,198.5348360303422,201.3710479736328,49896952,1370.56005859375,29.55599975585937,12.220000267028809
2330,2018-01-19,205.4227494689584,207.04344177246097,203.8020571654557,207.04344177246097,50549292,1372.030029296875,29.542999267578125,11.270000457763672
2330,2018-01-22,208.66419308955992,212.31075180374643,208.2590198990948,211.90557861328125,43400509,1382.4100341796875,29.36400032043457,11.029999732971191
2330,2018-01-23,212.7158516331723,215.55206298828125,212.7158516331723,215.55206298828125,33527444,1392.8599853515625,29.261999130249023,11.100000381469728
2330,2018-01-24,213.12106725411823,213.12106725411823,207.8538165425145,209.0693359375,41874813,1360.6800537109375,29.26799964904785,11.470000267028809
2330,2018-01-25,209.0693359375,213.93141351744188,207.8538165425145,209.0693359375,44643756,1337.6199951171875,29.08799934387207,11.579999923706056
2330,2018-01-26,207.8538251091452,208.66417140586705,205.42278621897967,206.6383056640625,39555523,1381.27001953125,29.06399917602539,11.079999923706056
2330,2018-01-29,209.87962981764537,211.9054949703253,206.6382455733574,209.4744567871093,30071234,1378.4200439453125,29.097999572753903,13.84000015258789
2330,2018-01-30,207.44866291996047,208.66418242925712,204.61245073160163,205.0176239013672,36860591,1350.43994140625,29.131000518798828,14.789999961853027
2330,2018-01-31,205.0176130706189,208.66417140586705,204.20726677389703,206.6383056640625,44136808,1361.5,29.21999931335449,13.539999961853027
2330,2018-02-01,208.66411315682765,211.5003244036195,208.25894012157167,210.2848052978516,30559457,1355.0699462890625,29.14200019836425,13.470000267028809
2330,2018-02-02,209.8796322625956,210.68997833310755,206.6382479805478,210.2848052978516,25707560,1317.97998046875,29.187000274658203,17.309999465942383
2330,2018-02-05,203.396931222305,206.2331434106638,202.99175805253944,205.0176239013672,45594379,1255.81005859375,29.34600067138672,37.31999969482422
2330,2018-02-06,196.5089410119476,197.31928716045044,189.6209987496731,193.6727294921875,102409048,1301.6600341796875,29.301000595092773,29.979999542236328
2330,2018-02-07,198.53480879465727,198.93998187383016,194.0779049237569,194.4830780029297,80063178,1272.5,29.375,27.729999542236328
2330,2018-02-08,194.07792436451783,196.1037899633124,192.8624050052411,193.267578125,30989550,1218.6600341796875,29.263999938964844,33.459999084472656
2330,2018-02-09,186.37965179771504,188.810690734207,185.16413232946908,188.405517578125,65735265,1255.81005859375,29.36899948120117,29.059999465942383
2330,2018-02-12,190.83650449466504,192.45719667721,190.4313314490288,191.6468505859375,35635236,1279.1400146484375,29.30599975585937,25.61000061035156
2330,2018-02-21,198.1296647219314,198.1296647219314,196.1037990294781,196.50897216796875,71504174,1325.3499755859375,29.319000244140625,20.020000457763672
2330,2018-02-22,197.72445366526944,197.72445366526944,193.67272305737453,194.0778961181641,39239993,1322.0899658203125,29.218000411987305,18.71999931335449
2330,2018-02-23,195.29339070222807,198.53477478027344,195.29339070222807,198.53477478027344,26985776,1351.0899658203125,29.2810001373291,16.489999771118164
2330,2018-02-26,200.15550878807207,200.5606818827848,198.5348164092213,199.7503356933593,35901810,1380.27001953125,28.47900009155273,15.800000190734863
2330,2018-02-27,202.9917115002144,202.9917115002144,199.3451538085937,199.3451538085937,40818119,1374.719970703125,29.20199966430664,18.59000015258789
2330,2018-03-01,197.7244544009613,198.53480052555537,196.10376215177308,196.9141082763672,39719984,1340.1400146484375,29.33300018310547,22.46999931335449
2330,2018-03-02,194.4830780029297,195.29342416127523,193.26755876541137,194.4830780029297,35139170,1363.780029296875,29.28899955749512,19.59000015258789
2330,2018-03-05,196.5089546029859,196.91412770526009,194.88826219388912,195.6986083984375,27337846,1375.8599853515625,29.26799964904785,18.729999542236328
2330,2018-03-06,198.93996002197264,202.5865173339844,198.93996002197264,202.5865173339844,34890780,1396.469970703125,29.256999969482425,18.36000061035156
2330,2018-03-07,200.9658638031377,201.371036915644,199.3451713531124,200.155517578125,30391219,1400.469970703125,29.198999404907227,17.760000228881836
2330,2018-03-08,202.18136596679688,203.802058279156,201.7761928887071,202.18136596679688,20645694,1402.050048828125,29.256999969482425,16.540000915527344
2330,2018-03-09,202.5865261664172,203.39687227108288,201.37100700941863,202.99169921875,19831063,1431.1600341796875,29.32900047302246,14.640000343322754
2330,2018-03-12,204.2072494386688,206.63828812246248,203.8020763247032,205.82794189453125,24492615,1445.9000244140625,29.24799919128418,15.779999732971191
2330,2018-03-13,207.04351765400656,209.8797302246093,206.6383444296347,209.8797302246093,33756883,1423.4599609375,29.256000518798828,16.350000381469727
2330,2018-03-14,207.8538142994684,208.6641605540472,207.0434680448896,208.2589874267578,23772838,1423.5,29.256999969482425,17.229999542236328
2330,2018-03-15,209.0693445542279,209.0693445542279,206.6383056640625,206.6383056640625,19396493,1422.0699462890625,29.17300033569336,16.59000015258789
2330,2018-03-16,205.0176130706189,207.4486519607843,202.1814010320925,206.6383056640625,62929326,1422.5400390625,29.128000259399418,15.800000190734863
2330,2018-03-19,204.61243992225795,207.0434788124234,203.39692047717523,206.6383056640625,21440766,1394.8199462890625,29.113000869750977,19.020000457763672
2330,2018-03-20,205.0176239013672,205.82797024089828,203.80210439207053,205.0176239013672,21840151,1405.5,29.15699958801269,18.200000762939453
2330,2018-03-21,206.638292369276,206.638292369276,203.3969073909344,204.6124267578125,28976737,1407.97998046875,29.145000457763672,17.860000610351562
2330,2018-03-22,206.23313239459728,206.23313239459728,202.18140091336747,203.8020935058593,27000668,1368.97998046875,29.07200050354004,23.34000015258789
2330,2018-03-23,198.53477478027344,200.15546681929607,197.72442876076207,198.53477478027344,52498390,1323.9200439453125,29.177000045776367,24.8700008392334
2330,2018-03-26,195.6985978394808,198.1296363219588,195.6985978394808,197.3192901611328,36987945,1380.0999755859375,29.177000045776367,21.030000686645508
2330,2018-03-27,200.9658577603648,203.3968963623047,200.1555115597181,203.3968963623047,31008260,1327.93994140625,29.075000762939453,22.5
2330,2018-03-28,200.56063982905167,200.96581283880727,197.72442876076207,198.53477478027344,29637411,1299.8199462890625,29.177000045776367,22.8700008392334
2330,2018-03-29,196.91412584898904,200.15551063662667,196.5089527505343,197.72447204589844,36165345,1328.9000244140625,29.136999130249023,19.96999931335449
2330,2018-03-30,200.560673039134,202.1813653465209,199.3451538085937,199.3451538085937,16996346,1328.9000244140625,29.10199928283691,19.96999931335449
2330,2018-04-02,201.37102807221007,201.77620116692287,198.5348164092213,199.7503356933593,17696003,1277.010009765625,28.974000930786133,23.6200008392334
2330,2018-04-03,196.91412584898904,198.1296451443532,196.1037796520796,197.72447204589844,35813944,1302.0899658203125,29.14200019836425,21.100000381469727
2330,2018-04-09,200.96581283880727,200.96581283880727,197.31925575100644,198.53477478027344,34694824,1273.800048828125,29.309999465942383,21.770000457763672
2330,2018-04-10,198.1296561992824,201.77621428883967,197.31930995715857,198.94000244140625,25156994,1314.5400390625,29.242000579833984,20.46999931335449
2330,2018-04-11,199.7503619040212,201.37105449553457,199.7503619040212,200.96588134765625,21607935,1315.06005859375,29.190000534057617,20.239999771118164
