epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,32,,,0.021848684176802635,3.2936089038848877,0.02545187436044216,0.9667577743530273,0.018535055220127106
0,32,0.08205725252628326,,,,,,
1,49,,0.01463754940778017,,,,,
1,65,,,0.033405959606170654,1.6898183822631836,0.04082344472408295,1.7091909646987915,0.016321731731295586
1,65,0.018459372222423553,,,,,,
2,98,,,0.025542618706822395,5.514031887054443,0.0288841649889946,0.9387148022651672,0.016228443011641502
2,98,0.01625194400548935,,,,,,
3,99,,0.018276795744895935,,,,,
3,131,,,0.02838953584432602,1.560928225517273,0.036162491887807846,1.3920389413833618,0.013968146406114101
3,131,0.016012141481041908,,,,,,
4,149,,0.013065788894891739,,,,,
4,164,,,0.034641750156879425,8.254901885986328,0.041155699640512466,0.9780511856079102,0.015386808663606644
4,164,0.014008578844368458,,,,,,
5,197,,,0.022613225504755974,3.661386489868164,0.02549256943166256,1.0314548015594482,0.016874613240361214
5,197,0.013732364401221275,,,,,,
6,199,,0.01322002150118351,,,,,
6,230,,,0.02501801587641239,5.165129661560059,0.0276165958493948,0.9516415596008301,0.014409507624804974
6,230,0.012900559231638908,,,,,,
7,249,,0.012757866643369198,,,,,
7,263,,,0.0327419750392437,1.6644092798233032,0.04056653380393982,1.5864720344543457,0.015534539707005024
7,263,0.0123820211738348,,,,,,
8,296,,,0.0288503710180521,1.7422147989273071,0.03660093992948532,1.3921912908554077,0.012669957242906094
8,296,0.010455349460244179,,,,,,
9,299,,0.009833510965108871,,,,,
9,329,,,0.023149043321609497,1.9716720581054688,0.028751423582434654,1.195266842842102,0.011839431710541248
9,329,0.010241033509373665,,,,,,
10,349,,0.01266687922179699,,,,,
10,362,,,0.03651067614555359,2.7171075344085693,0.04414330795407295,1.5996532440185547,0.01866595260798931
10,362,0.010924238711595535,,,,,,
11,395,,,0.023860467597842216,5.340627193450928,0.02686077170073986,0.9466193318367004,0.011180765926837921
11,395,0.010364185087382793,,,,,,
12,399,,0.009539367631077766,,,,,
12,428,,,0.03631789982318878,2.3745179176330566,0.04385818913578987,1.6449767351150513,0.015501532703638077
12,428,0.010857059620320797,,,,,,
13,449,,0.010610731318593025,,,,,
13,461,,,0.024244219064712524,1.6987252235412598,0.030040964484214783,1.2703133821487427,0.015170260332524776
13,461,0.010142269544303417,,,,,,
14,494,,,0.03066648729145527,1.5749683380126953,0.03811312094330788,1.570536732673645,0.013400624506175518
14,494,0.009608348831534386,,,,,,
15,499,,0.010536745190620422,,,,,
15,527,,,0.024282092228531837,3.4877796173095703,0.028356529772281647,1.114077091217041,0.013595081865787506
15,527,0.009843861684203148,,,,,,
16,549,,0.009655551053583622,,,,,
16,560,,,0.025688067078590393,1.8251038789749146,0.03186821565032005,1.2592885494232178,0.015558727085590363
16,560,0.009195768274366856,,,,,,
17,593,,,0.024672886356711388,1.7279046773910522,0.031126638874411583,1.2384928464889526,0.015358838252723217
17,593,0.008757342584431171,,,,,,
